No,year,month,day,hour,season,pm,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,air quality level
28982,2013,4,22,13,1,141.0,-1.0,25.89,1013.0,19.0,4,55.0,0.0,0.0,4
29003,2013,4,23,10,1,59.0,-5.0,26.4,1012.0,14.0,4,17.0,0.0,0.0,4
29009,2013,4,23,16,1,200.0,2.0,50.36,1010.0,12.0,4,56.0,0.0,0.0,5
29025,2013,4,24,8,1,120.0,6.0,87.19,1010.0,8.0,4,33.0,0.0,0.0,4
29033,2013,4,24,16,1,11.0,-4.0,23.5,1006.0,17.0,4,69.0,0.0,0.0,1
29038,2013,4,24,21,1,17.0,4.0,66.27,1008.0,10.0,4,100.0,0.0,0.0,2
29039,2013,4,24,22,1,21.0,3.0,66.05,1007.0,9.0,3,3.0,0.0,0.0,2
29041,2013,4,25,0,1,54.0,3.0,81.06,1007.0,6.0,4,4.0,0.0,0.0,3
29048,2013,4,25,7,1,50.0,4.0,75.84,1007.0,8.0,4,20.0,0.0,0.0,3
29051,2013,4,25,10,1,16.0,-1.0,40.54,1006.0,12.0,2,3.0,0.0,0.0,2
29052,2013,4,25,11,1,23.0,0.0,40.84,1006.0,13.0,4,5.0,0.0,0.0,2
29053,2013,4,25,12,1,23.0,0.0,43.6,1006.0,12.0,2,7.0,0.0,0.0,2
29055,2013,4,25,14,1,23.0,3.0,61.76,1007.0,10.0,2,22.0,0.0,0.0,2
29072,2013,4,26,7,1,46.0,5.0,93.29,1011.0,6.0,4,6.0,0.0,0.0,3
29073,2013,4,26,8,1,43.0,7.0,87.28,1011.0,9.0,2,4.0,0.0,0.0,3
29074,2013,4,26,9,1,29.0,4.0,62.0,1012.0,11.0,2,8.0,0.0,0.0,2
29075,2013,4,26,10,1,20.0,4.0,58.03,1012.0,12.0,2,13.0,0.0,0.0,2
29076,2013,4,26,11,1,19.0,2.0,44.2,1012.0,14.0,2,18.0,0.0,0.0,2
